date,retail_and_recreation_percent_change_from_baseline,ndti_change_from_baseline,ndvi_change_from_baseline,tmmx_change_from_baseline,Precipitation (mm/day)_change_from_baseline,aod_change_from_baseline,NO2_column_number_density_change_from_baseline,avg_rad_change_from_baseline
2019-05-19,,,,,-100.00000000000001,-41.66092880707698,-2.351945211501483,
2019-05-20,,-14.299710739844539,-27.478175073767947,,-99.96425678747018,-7.439729927702762,-14.732352821977683,
2019-05-21,,,,,-99.48876765424848,-19.168575770090516,-22.199949863927802,
2019-05-22,,,,,-89.0332070168136,,-62.49397551387629,
2019-05-23,,,,,100.55768886304965,31.562209076690287,-8.757843774818339,
2019-05-24,,,,,-93.33997582501758,-10.611218055965002,-42.1401082224819,
2019-05-25,,-6.153079939430243,-23.088371646961885,,-100.00000000000001,-60.20821636299101,-22.6583938582543,
2019-05-26,,,,,-100.00000000000001,-62.70410105623111,-28.557414460558896,
2019-05-27,,,,,-100.00000000000001,-44.42338453830335,-24.35856482422587,
2019-05-28,,,,,-100.00000000000001,-67.62277981485704,-19.16995368095874,
2019-05-29,,,,,-100.00000000000001,-52.66706059124774,-11.369496485434736,
2019-05-30,,-21.665178704269902,-30.002452769516335,,-100.00000000000001,-42.92261000040469,-6.359813017302994,
2019-05-31,,,,,-100.00000000000001,-9.434341105808237,-1.6403068770900195,
2019-06-01,,,,69.0705536750443,-100.00000000000001,6.2291574193325925,-1.0149804839357104,-18.530974546537763
2019-06-02,,,,,-100.00000000000001,-1.2729323623925102,-2.6612751102480714,
2019-06-03,,,,,-100.00000000000001,11.385600219260299,,
2019-06-04,,-52.22407449666042,-44.14784230988757,,-99.3060225012198,17.004702587740642,-6.5892686801497975,
2019-06-05,,,,,-84.36682225093502,3.9755390988626527,-8.919477744710722,
2019-06-06,,,,,-99.77069622186276,15.273326059486962,16.964662508032745,
2019-06-07,,,,,-100.00000000000001,-16.201044103021946,1.8437294092835466,
2019-06-08,,,,,-100.00000000000001,-29.03503196192677,-3.005466837792814,
2019-06-09,,-23.7764409680179,-35.87667584057296,,-100.00000000000001,-40.59482018075193,1.255079355209643,
2019-06-10,,,,,-98.06733182231996,-36.97938051914777,-6.620730900303056,
2019-06-11,,,,,-63.527548321452,11.624796405324732,-38.853557650059194,
2019-06-12,,,,,-38.16481839917965,21.71492111586985,-20.90613426452283,
2019-06-13,,,,,-99.99903450066604,2.8538504247831384,-19.12527530704488,
2019-06-14,,-51.334892879868974,-32.89425160659543,,-100.00000000000001,-45.56805439891269,-14.0328117996412,
2019-06-15,,,,,223.33815927396705,-9.076973516404149,-23.779993832204067,
2019-06-16,,,,,228.46465966484337,-42.166871672861625,-41.11902888404894,
2019-06-17,,,,,387.24942834307785,,-60.93959495755702,
2019-06-18,,,,,-8.640927703870288,-2.3875173625739627,-43.2735894631478,
2019-06-19,,-57.78700461950892,-30.789940640797248,,-99.32496182499504,10.454659323738909,25.820488874916023,
2019-06-20,,,,,-100.00000000000001,-9.914465866374949,11.66343086717775,
2019-06-21,,,,,-95.13481257956158,8.386215695658954,19.28705131308151,
2019-06-22,,,,,-100.00000000000001,-22.400202564295718,-11.83962257918312,
2019-06-23,,,,,-100.00000000000001,10.6048964527528,-16.01068446506747,
2019-06-24,,,,,166.88798625964193,,-21.906240748919707,
2019-06-25,,,,,-90.10901524464168,88.17079227939561,-1.3228103838576928,
2019-06-26,,,,,-99.90787100080922,,-0.7807206875556139,
2019-06-27,,,,,-94.88130749578156,129.39006489785825,-26.263751258092707,
2019-06-28,,,,,-99.99882889382062,-15.196254969175389,-31.479662194696147,
2019-06-29,,-79.83196057687317,-37.41595404790939,,-99.73333378688348,8.123405354514183,-27.1973364565864,
2019-06-30,,,,,-82.36209132646432,28.470197733707312,-29.388547048724014,
2019-07-01,,,,51.15606018874754,-99.99988149657513,-8.160669316061291,-9.131614166787974,-19.750030195202665
2019-07-02,,,,,-64.30165125904333,150.7536325927634,-9.762734124505416,
