date,ndti,ndvi,tmmx,Precipitation (mm/day),aod,NO2_column_number_density,avg_rad,retail_and_recreation_percent_change_from_baseline
2017-04-07,,,,0.0,1073.7656013655242,,,
2017-04-08,,,,0.0,467.15732304535277,,,
2017-04-09,,,,0.0,225.40015683988744,,,
2017-04-10,-0.09084903414467238,0.19024824906608834,,0.0,279.86147836752593,,,
2017-04-11,,,,0.0,384.52677187925553,,,
2017-04-12,,,,0.0,562.5828547482906,,,
2017-04-13,,,,0.0,440.8324088813322,,,
2017-04-14,,,,0.0,628.5977416808547,,,
2017-04-15,,,,0.0,595.5973130357843,,,
2017-04-16,,,,0.0,483.0969340682094,,,
2017-04-17,,,,0.0,595.5437757911591,,,
2017-04-18,,,,0.0,694.1468281135978,,,
2017-04-19,,,,0.0,480.40308849557374,,,
2017-04-20,,,,0.0,617.8670093151111,,,
2017-04-21,,,,0.0,743.9982659015441,,,
